category,model,title,highlight,description
Fully Managed Switches,XSM4340FV,M4350-32F8V Fully Managed Switch (XSM4340FV),32xSFP+ and 8xSFP28 25G Managed Switch,".32 10GBASE-X SFP+ ports with 8 25GBASE-X SFP28 uplinks.420W internal power supply.1 slot for modular power supply (1+1 redundancy).Any APS600Wv3, APS1200Wv2, or APS2000Wv2 can be used.Virtual Chassis stacking provides non-stop forwarding (NSF) and hitless failover.Layer 3 feature set includes static, policy-based, and dynamic routing.NETGEAR IGMP Plus™, AV User Interface, and Engage Controller speed up AV installations.NETGEAR ProSAFE® Limited Lifetime Hardware Warranty.Lifetime Next Business Day Hardware Replacement.TAA compliant SKU is available. Contact your sales representative."
Fully Managed Switches,VSM4320C,M4350-16V4C Fully Managed Switch (VSM4320C),16xSFP28 25G and 4xQSFP28 100G Managed Switch,".16 25GBASE-X SFP28 ports with 4 100GBASE-X QSFP28 uplinks.420W internal power supply.1 slot for modular power supply (1+1 redundancy).Any APS600Wv3, APS1200Wv2, or APS2000Wv2 can be used.Virtual Chassis stacking provides non-stop forwarding (NSF) and hitless failover.Layer 3 feature set includes static, policy-based, and dynamic routing.NETGEAR IGMP Plus™, AV User Interface, and Engage Controller speed up AV installations.NETGEAR ProSAFE® Limited Lifetime Hardware Warranty.Lifetime Next Business Day Hardware Replacement.Supports SMPTE ST 2110 for professional broadcast applications.TAA compliant SKU is available. Contact your sales representative."
Fully Managed Switches,XSM4344C,M4350-40X4C Fully Managed Switch (XSM4344C),"40x10G/Multi-Gig PoE++ (196W base, up to 1,676W) and 4xQSFP28 100G Managed Switch",".40 10G/Multi-Gig PoE++ ports with 4 100GBASE-X QSFP28 uplinks.750W internal power supply providing 196W of PoE budget.1 slot for modular power supply (1+1 redundancy and/or EPS share).Any APS600Wv3, APS1200Wv2, or APS2000Wv2 can be used.The PoE budget can reach 1,676W, when the redundant PoE budget remains 196W.Virtual Chassis stacking provides non-stop forwarding (NSF) and hitless failover.Layer 3 feature set includes static, policy-based, and dynamic routing.NETGEAR IGMP Plus™, AV User Interface, and Engage Controller speed up AV installations.NETGEAR ProSAFE® Limited Lifetime Hardware Warranty.Lifetime Next Business Day Hardware Replacement.Supports SMPTE ST 2110 for professional broadcast applications.TAA compliant SKU is available. Contact your sales representative."
Fully Managed Switches,M4250-26G4F-PoE-Plus - GSM4230P,M4250-26G4F-PoE+ (GSM4230P),24x1G PoE+ 300W 2x1G and 4xSFP Managed Switch,Switching engineered for 1G AV over IP with rear-facing ports ensuring a clean integration in AV racks. Pre-configured for out of the box functionality!
Fully Managed Switches,GSM4210PD,AV Line M4250-9G1F-PoE+ (GSM4210PD),8x1G PoE+ 110W 1x1G and 1xSFP Managed Switch,Switching engineered for 1G AV over IP with versatile mounting options for under a table or behind a display. Pre-configured for out of the box functionality!
Fully Managed Switches,GSM4210PX,AV Line M4250-8G2XF-PoE+ (GSM4210PX),8x1G PoE+ 220W and 2xSFP+ Managed Switch,Switching engineered for 1G AV over IP with versatile mounting options for under a table or behind a display. Pre-configured for out of the box functionality!
Fully Managed Switches,M4250 40G8XF PoE++ GSM4248UX,AV Line M4250-40G8XF-PoE++ (GSM4248UX),"40x1G PoE++ 2,880W and 8xSFP+ Managed Switch",Switching engineered for 1G AV over IP with rear-facing ports ensuring a clean integration in AV racks. Pre-configured for out of the box functionality!
Fully Managed Switches,M4300-8X8F,M4300-8X8F (XSM4316S),"8X10G, 8XSFP+ Managed Switch",Stackable Half-Width 16-Port Fully Managed Switch with 8x10GBase-T and 8xSFP+
Fully Managed Switches,M4300-24X24F,M4300-24X24F (XSM4348S),24x10G and 24xSFP+ Managed Switch,Stackable Managed Switch with 24 Ports SFP+ and 24 Ports 10GbE Copper - IT Core & AV-over-IP
Fully Managed Switches,M4500-32C,M4500-32C (CSM4532),32x100G/50G/40G QSFP28 Managed Switch,These switches combine the configurability of a matrix switcher with the power and scalability of Ethernet to support hundreds of AV over IP endpoints. M4300 and M4500 switches offer IGMP Plus and greatly simplify system architectures at a dramatically lower price point.
Fully Managed Switches,M4300-12X12F,M4300-12X12F (XSM4324S),"12X10G, 12XSFP+ Managed Switch",Stackable Half-Width Managed Switch with 12-Port 10GBASE-T and 12-Port 10GBase-X SFP+
Fully Managed Switches,M4300 48X,M4300-48X (XSM4348CS),48x10G and 4xSFP+ (shared) Managed Switch,Stackable Managed Switch with 48X 10G Ports - IT Core & AV-over-IP
Fully Managed Switches,M4300-24X,M4300-24X (XSM4324CS),24x10G and 4xSFP+ (shared) Managed Switch,Half-Width 24x10G Stackable Managed Switch with 24x10GBASE-T
Fully Managed Switches,M4300-28G,M4300-28G (GSM4328S),"24x1G, 2x10G, and 2xSFP+ Managed Switch",Full-Width 24x1G Stackable Managed Switch with 2x10GBASE-T and 2xSFP+ (GSM4328S)
Fully Managed Switches,M4300 52G,M4300-52G (M4300-52G),"48x1G, 2x10G, 2xSFP+ Managed Switch",Full-Width 48x1G Stackable Managed Switch with 2x10GBASE-T and 2xSFP+ (GSM4352S)
Fully Managed Switches,NETGEAR.com Home Page,M4300-24XF (XSM4324FS),24xSFP+ and 2x10G (shared) Managed Switch,Half-Width 24x10G Stackable Managed Switch with 24xSFP+
Fully Managed Switches,M4300 48XF,M4300-48XF (XSM4348FS),48xSFP+ and 2x10G (shared) Managed Switch,Stackable Managed Switch with 48X SFP+ 10Gb Ports - IT Core & AV-over-IP
Fully Managed Switches,M4500-48XF8C,M4500-48XF8C (XSM4556),48x10G/25G SFP28 and 8x100G QSFP28 Managed Switch,These switches combine the configurability of a matrix switcher with the power and scalability of Ethernet to support hundreds of AV over IP endpoints. M4300 and M4500 switches offer IGMP Plus and greatly simplify system architectures at a dramatically lower price point
Fully Managed Switches,M4300-96X,M4300-96X (M4300-96X),"Modular, 12-slot empty Managed Switch",12-Slot Modular Stackable Managed Switch with 8-port 10G and 2-port 40G expansion cards
Fully Managed Switches,M4300 52G POE PLUS 550W PSU,M4300-52G-PoE+ (GSM4352PA),"48x1G PoE+ 480W, 2x10G, 2xSFP+ Managed Switch",Full-Width 48x1G PoE+ Stackable Managed Switch with 2x10GBASE-T and 2xSFP+ (550W PSU) (GSM4352PA)
Fully Managed Switches,M4300 52G POE PLUS 1000W PSU,M4300-52G-PoE+ (GSM4352PB),"48x1G PoE+ 591W, 2x10G, 2xSFP+ Managed Switch","48x1G PoE+ Stackable Managed Switch with 2x10GBASE-T and 2xSFP+ 1,000W PSU (GSM4352PB)"
Fully Managed Switches,M4300-16X-600W-PSU,M4300-16X 600W PSU (XSM4316PB),"16x Multi-Gig, PoE+ (600W) Managed Switch",Half-Width Stackable Managed Switch with 16X 10G / MultiGig Ports and 600W PoE+ Budget - IT Core & AV-over-IP
Fully Managed Switches,M4300-16X-299W-PSU,M4300-16X (XSM4316PA),"16x Multi-Gig, PoE+ (299W) Managed Switch",Half-Width Stackable Managed Switch with 16X 10G / MultiGig Ports and 299W PoE+ Budget - IT Core & AV-over-IP
Fully Managed Switches,M4300-28G,M4300-28G PoE+ (GSM4328PA),"24x1G PoE+ 480W, 2x10G, 2xSFP+ Managed Switch",24x1G PoE+ Stackable Managed Switch with 2x10GBASE-T and 2xSFP+ 550W PSU(GSM4328PA)
Fully Managed Switches,M4300-28G,M4300-28G PoE+ (GSM4328PB),"24x1G PoE+ 630W, 2x10G, 2xSFP+ Managed Switch","24x1G PoE+ Stackable Managed Switch with 2x10GBASE-T and 2xSFP+ 1,000W PSU (GSM4328PB)"
Fully Managed Switches,M4250-16XF - XSM4216F,AV Line M4250-16XF (XSM4216F),16x1G/10G Fiber SFP+ Managed Switch,Switching engineered for 1G AV over IP with rear-facing ports ensuring a clean integration in AV racks. Pre-configured for out of the box functionality!
Fully Managed Switches,M4250-12M2XF - MSM4214X,AV Line M4250-12M2XF (MSM4214X),12x2.5G and 2xSFP+ Managed Switch,.Switching engineered for 1G AV over IP with rear-facing ports ensuring a clean integration in AV racks. Pre-configured for out of the box functionality!.TAA compliant SKU is available. Contact your sales representative.
Fully Managed Switches,M4250-10G2XF-POE-Plus-Plus - GSM4212UX,AV Line M4250-10G2XF-PoE++ (GSM4212UX),8x1G Ultra90 PoE++ 802.3bt 720W 2x1G and 2xSFP+ Managed Switch,Switching engineered for 1G AV over IP with rear-facing ports ensuring a clean integration in AV racks. Pre-configured for out of the box functionality!
Fully Managed Switches,M4250-10G2XF-PoE-Plus - GSM4212PX,AV Line M4250-10G2XF-PoE+ (GSM4212PX),8x1G PoE+ 240W 2x1G and 2xSFP+ Managed Switch,Switching engineered for 1G AV over IP with rear-facing ports ensuring a clean integration in AV racks. Pre-configured for out of the box functionality!
Fully Managed Switches,M4250-10G2F-PoE-Plus - GSM4212P,AV Line M4250-10G2F-PoE+ (GSM4212P),8x1G PoE+ 125W 2x1G and 2xSFP Managed Switch,"Designed with input from industry professionals, this switch is engineered for 1G AV over IP. Enjoy rear-facing ports that ensure a clean integration in AV racks, and pre-configuration for out-of-the-box functionality."
Fully Managed Switches,M4250-26G4XF-PoE+ GSM4230PX,M4250-26G4XF-PoE+ (GSM4230PX),24x1G PoE+ 480W 2x1G and 4xSFP+ Managed Switch,.Switching engineered for 1G AV over IP with rear-facing ports ensuring a clean integration in AV racks. Pre-configured for out of the box functionality!.TAA compliant SKU is available. Contact your sales representative.
Fully Managed Switches,M4250 26G4F PoE++ GSM4230UP,M4250-26G4F-PoE++ (GSM4230UP),"24x1G PoE++ 1,440W 2x1G and 4xSFP Managed Switch",Switching engineered for 1G AV over IP with rear-facing ports ensuring a clean integration in AV racks. Pre-configured for out of the box functionality!
Fully Managed Switches,M4250 40G8F PoE Plus GSM4248P,AV Line M4250-40G8F-PoE+ (GSM4248P),40x1G PoE+ 480W and 8xSFP Managed Switch,Switching engineered for 1G AV over IP with rear-facing ports ensuring a clean integration in AV racks. Pre-configured for out of the box functionality!
Fully Managed Switches,M4250 40G8XF PoE plus GSM4248PX,AV Line M4250-40G8XF-PoE+ (GSM4248PX),40x1G PoE+ 960W and 8xSFP+ Managed Switch,.Switching engineered for 1G AV over IP with rear-facing ports ensuring a clean integration in AV racks. Pre-configured for out of the box functionality!.TAA compliant SKU is available. Contact your sales representative.
AV over IP Switches,GSM4210PD,AV Line M4250-9G1F-PoE+ (GSM4210PD),8x1G PoE+ 110W 1x1G and 1xSFP Managed Switch,Switching engineered for 1G AV over IP with versatile mounting options for under a table or behind a display. Pre-configured for out of the box functionality!
AV over IP Switches,GSM4210PX,AV Line M4250-8G2XF-PoE+ (GSM4210PX),8x1G PoE+ 220W and 2xSFP+ Managed Switch,Switching engineered for 1G AV over IP with versatile mounting options for under a table or behind a display. Pre-configured for out of the box functionality!
AV over IP Switches,M4250-26G4XF-PoE+ GSM4230PX,M4250-26G4XF-PoE+ (GSM4230PX),24x1G PoE+ 480W 2x1G and 4xSFP+ Managed Switch,.Switching engineered for 1G AV over IP with rear-facing ports ensuring a clean integration in AV racks. Pre-configured for out of the box functionality!.TAA compliant SKU is available. Contact your sales representative.
AV over IP Switches,M4250 40G8XF PoE++ GSM4248UX,AV Line M4250-40G8XF-PoE++ (GSM4248UX),"40x1G PoE++ 2,880W and 8xSFP+ Managed Switch",Switching engineered for 1G AV over IP with rear-facing ports ensuring a clean integration in AV racks. Pre-configured for out of the box functionality!
